city,recording,present,file,rows,columns,column_names,missing_cells,unnamed_columns,unnamed_all_empty,duplicate_raw_frame_ids,nonpositive_timestamp_steps,timestamp_column
Tianjin,8_3_1,True,TrafficLight_8_03_1.csv,115.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_3_2,True,TrafficLight_8_03_2.csv,125.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_3_3,True,TrafficLight_8_03_3.csv,105.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,1.0,timestamp(ms)
Tianjin,8_3_4,True,TrafficLight_8_03_4.csv,107.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_5_1,True,TrafficLight_8_05_1.csv,107.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_5_2,True,TrafficLight_8_05_2.csv,124.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_5_3,True,TrafficLight_8_05_3.csv,98.0,10.0,RawFrameID | Timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,Timestamp(ms)
Tianjin,8_6_1,True,TrafficLight_8_06_1.csv,110.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,1.0,timestamp(ms)
Tianjin,8_6_2,True,TrafficLight_8_06_2.csv,104.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_6_3,True,TrafficLight_8_06_3.csv,104.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,1.0,timestamp(ms)
Tianjin,8_6_4,True,TrafficLight_8_06_4.csv,101.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_7_1,True,TrafficLight_8_07_1.csv,119.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_7_2,True,TrafficLight_8_07_2.csv,107.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_8_1,True,TrafficLight_8_08_1.csv,119.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_9_1,True,TrafficLight_8_09_1.csv,103.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,1.0,timestamp(ms)
Tianjin,8_9_2,True,TrafficLight_8_09_2.csv,101.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
